Product Code,Suppler TIN,Supplier Name,Qty,Unit Price
3494114312367010000,,Opening Stock,100,1080
3494114312367010000,,Opening Stock,100,1080
3494099679371490000,,Opening Stock,100,1080
3494099679371490000,,Opening Stock,100,1080
3494082499300980000,,Opening Stock,100,1080
3494082499300980000,,Opening Stock,100,1080
3494060156830780000,,Opening Stock,100,1080
3494060156830780000,,Opening Stock,100,1080
3389489578589980000,,Opening Stock,100,1080
3389489578589980000,,Opening Stock,100,1080
3363571913124120000,,Opening Stock,100,1080
3363571913124120000,,Opening Stock,100,1080
3322889566334910000,,Opening Stock,100,1080
3322889566334910000,,Opening Stock,100,1080
3322882574044270000,,Opening Stock,100,1080
3322882574044270000,,Opening Stock,100,1080
3192718942388780000,,Opening Stock,100,1080
3192718942388780000,,Opening Stock,100,1080
3182949952846200000,,Opening Stock,100,1080
3182949952846200000,,Opening Stock,100,1080
3160687112156510000,,Opening Stock,100,1080
3160687112156510000,,Opening Stock,100,1080
3160184374918280000,,Opening Stock,100,1080
3160184374918280000,,Opening Stock,100,1080
3111273054534010000,,Opening Stock,100,1080
3111273054534010000,,Opening Stock,100,1080
3111266173937680000,,Opening Stock,100,1080
3111266173937680000,,Opening Stock,100,1080
3111229666480780000,,Opening Stock,100,1080
3111229666480780000,,Opening Stock,100,1080
3111201568729240000,,Opening Stock,100,1080
3111201568729240000,,Opening Stock,100,1080
3111126427932460000,,Opening Stock,100,1080
3111126427932460000,,Opening Stock,100,1080
3104223333206360000,,Opening Stock,100,1080
3104223333206360000,,Opening Stock,100,1080
3104178854323720000,,Opening Stock,100,1080
3104178854323720000,,Opening Stock,100,1080
3088847053531280000,,Opening Stock,100,1080
3088847053531280000,,Opening Stock,100,1080
3085184492713710000,,Opening Stock,100,1080
3085184492713710000,,Opening Stock,100,1080
2981370508471080000,,Opening Stock,100,1080
2981370508471080000,,Opening Stock,100,1080
2962791012247700000,,Opening Stock,100,1080
2962791012247700000,,Opening Stock,100,1080
2962624297958280000,,Opening Stock,100,1080
2962624297958280000,,Opening Stock,100,1080
2951910270999360000,,Opening Stock,100,1080
2951910270999360000,,Opening Stock,100,1080
2951900710309890000,,Opening Stock,100,1080
2951900710309890000,,Opening Stock,100,1080
2933260091635170000,,Opening Stock,100,1080
2933260091635170000,,Opening Stock,100,1080
2929890543502520000,,Opening Stock,100,1080
2929890543502520000,,Opening Stock,100,1080
2922312619840670000,,Opening Stock,100,1080
2922312619840670000,,Opening Stock,100,1080
2863069214401270000,,Opening Stock,100,1080
2863069214401270000,,Opening Stock,100,1080
2863062222102230000,,Opening Stock,100,1080
2863062222102230000,,Opening Stock,100,1080
2863007937792480000,,Opening Stock,100,1080
2863007937792480000,,Opening Stock,100,1080
2836774661511870000,,Opening Stock,100,1080
2836774661511870000,,Opening Stock,100,1080
2788836133411130000,,Opening Stock,100,1080
2788836133411130000,,Opening Stock,100,1080
2721604845738820000,,Opening Stock,100,1080
2721604845738820000,,Opening Stock,100,1080
2662116581898620000,,Opening Stock,100,1080
2662116581898620000,,Opening Stock,100,1080
2633250162251560000,,Opening Stock,100,1080
2633250162251560000,,Opening Stock,100,1080
2629314965072150000,,Opening Stock,100,1080
2629314965072150000,,Opening Stock,100,1080
2555419338831990000,,Opening Stock,100,1080
2555419338831990000,,Opening Stock,100,1080
2439398682311690000,,Opening Stock,100,1080
2439398682311690000,,Opening Stock,100,1080
2427973046338750000,,Opening Stock,100,1080
2427973046338750000,,Opening Stock,100,1080
2409834998321280000,,Opening Stock,100,1080
2409834998321280000,,Opening Stock,100,1080
2391445477946980000,,Opening Stock,100,1080
2391445477946980000,,Opening Stock,100,1080
2391402708159330000,,Opening Stock,100,1080
2391402708159330000,,Opening Stock,100,1080
2391216665418170000,,Opening Stock,100,1080
2391216665418170000,,Opening Stock,100,1080
2391211739015180000,,Opening Stock,100,1080
2391211739015180000,,Opening Stock,100,1080
2387432649460190000,,Opening Stock,100,1080
2387432649460190000,,Opening Stock,100,1080
2387417037153400000,,Opening Stock,100,1080
2387417037153400000,,Opening Stock,100,1080
2387405406272910000,,Opening Stock,100,1080
2387405406272910000,,Opening Stock,100,1080
2370251242610790000,,Opening Stock,100,1080
2370251242610790000,,Opening Stock,100,1080
2370245444321050000,,Opening Stock,100,1080
2370245444321050000,,Opening Stock,100,1080
2314673463102440000,,Opening Stock,100,1080
2314673463102440000,,Opening Stock,100,1080
2280068628038450000,,Opening Stock,100,1080
2280068628038450000,,Opening Stock,100,1080
2262208842261500000,,Opening Stock,100,1080
2262208842261500000,,Opening Stock,100,1080
2257994789246890000,,Opening Stock,100,1080
2257994789246890000,,Opening Stock,100,1080
2257994741800930000,,Opening Stock,100,1080
2257994741800930000,,Opening Stock,100,1080
2257994737489180000,,Opening Stock,100,1080
2257994737489180000,,Opening Stock,100,1080
2257994733177440000,,Opening Stock,100,1080
2257994733177440000,,Opening Stock,100,1080
2257994707298580000,,Opening Stock,100,1080
2257994707298580000,,Opening Stock,100,1080
2257994621055300000,,Opening Stock,100,1080
2257994621055300000,,Opening Stock,100,1080
2257994491686190000,,Opening Stock,100,1080
2257994491686190000,,Opening Stock,100,1080
2257994487374450000,,Opening Stock,100,1080
2257994487374450000,,Opening Stock,100,1080
2257994457175460000,,Opening Stock,100,1080
2257994457175460000,,Opening Stock,100,1080
2257994396794260000,,Opening Stock,100,1080
2257994396794260000,,Opening Stock,100,1080
2257994319157690000,,Opening Stock,100,1080
2257994319157690000,,Opening Stock,100,1080
2257994276031860000,,Opening Stock,100,1080
2257994276031860000,,Opening Stock,100,1080
2257994228577500000,,Opening Stock,100,1080
2257994228577500000,,Opening Stock,100,1080
2257994194091930000,,Opening Stock,100,1080
2257994194091930000,,Opening Stock,100,1080
2257994159589590000,,Opening Stock,100,1080
2257994159589590000,,Opening Stock,100,1080
2257994150957710000,,Opening Stock,100,1080
2257994150957710000,,Opening Stock,100,1080
2257994138039260000,,Opening Stock,100,1080
2257994138039260000,,Opening Stock,100,1080
2257994069026180000,,Opening Stock,100,1080
2257994069026180000,,Opening Stock,100,1080
2257994030203700000,,Opening Stock,100,1080
2257994030203700000,,Opening Stock,100,1080
2257994021588600000,,Opening Stock,100,1080
2257994021588600000,,Opening Stock,100,1080
2257993909441300000,,Opening Stock,100,1080
2257993909441300000,,Opening Stock,100,1080
2257993849076880000,,Opening Stock,100,1080
2257993849076880000,,Opening Stock,100,1080
2257993827509760000,,Opening Stock,100,1080
2257993827509760000,,Opening Stock,100,1080
2257993754210110000,,Opening Stock,100,1080
2257993754210110000,,Opening Stock,100,1080
2257993724002730000,,Opening Stock,100,1080
2257993724002730000,,Opening Stock,100,1080
2257993577353090000,,Opening Stock,100,1080
2257993577353090000,,Opening Stock,100,1080
2257993271135340000,,Opening Stock,100,1080
2257993271135340000,,Opening Stock,100,1080
2257993249585000000,,Opening Stock,100,1080
2257993249585000000,,Opening Stock,100,1080
2257993236632990000,,Opening Stock,100,1080
2257993236632990000,,Opening Stock,100,1080
2257993193498770000,,Opening Stock,100,1080
2257993193498770000,,Opening Stock,100,1080
2257993184875280000,,Opening Stock,100,1080
2257993184875280000,,Opening Stock,100,1080
2257993176243410000,,Opening Stock,100,1080
2257993176243410000,,Opening Stock,100,1080
2257993154693070000,,Opening Stock,100,1080
2257993154693070000,,Opening Stock,100,1080
2257993008060200000,,Opening Stock,100,1080
2257993008060200000,,Opening Stock,100,1080
2257993003748460000,,Opening Stock,100,1080
2257993003748460000,,Opening Stock,100,1080
2257992930415250000,,Opening Stock,100,1080
2257992930415250000,,Opening Stock,100,1080
